frame_id,time,detected,x1,y1,c1
1.0,0.0,1.0,276.2010498046875,102.98400115966797,0.47341087460517883
2.0,0.05555555555555555,0.0,,,
3.0,0.1111111111111111,1.0,291.2415466308594,106.36283874511719,0.5690217614173889
4.0,0.16666666666666666,1.0,300.46099853515625,108.93226623535156,0.5374171733856201
5.0,0.2222222222222222,1.0,308.09991455078125,113.23585510253906,0.6427990794181824
6.0,0.2777777777777778,1.0,315.973876953125,118.1717529296875,0.5347545742988586
7.0,0.3333333333333333,1.0,324.5382995605469,124.50227355957031,0.6589518785476685
8.0,0.38888888888888884,1.0,332.48162841796875,129.49053955078125,0.5634555220603943
9.0,0.4444444444444444,0.0,,,
10.0,0.5,1.0,348.418212890625,139.1029052734375,0.6271074414253235
11.0,0.5555555555555556,1.0,357.5234375,142.84024047851562,0.6783734560012817
12.0,0.611111111111111,1.0,366.14892578125,148.66207885742188,0.6794583201408386
13.0,0.6666666666666666,1.0,376.3045349121094,152.16168212890625,0.6057460904121399
14.0,0.7222222222222222,1.0,384.01806640625,157.7399444580078,0.6193005442619324
15.0,0.7777777777777777,1.0,391.1407470703125,162.516357421875,0.6401606798171997
16.0,0.8333333333333333,1.0,395.6365966796875,168.7906494140625,0.6163401007652283
17.0,0.8888888888888888,1.0,398.8132019042969,175.95101928710938,0.5953388810157776
18.0,0.9444444444444444,1.0,400.2779541015625,183.67994689941406,0.5622521042823792
19.0,1.0,1.0,400.1962890625,192.8988037109375,0.6993626952171326
20.0,1.0555555555555556,1.0,397.47406005859375,201.5164794921875,0.5142792463302612
21.0,1.1111111111111112,1.0,394.78326416015625,210.48562622070312,0.619903564453125
22.0,1.1666666666666665,1.0,392.0950927734375,218.0746612548828,0.5072854161262512
23.0,1.222222222222222,1.0,388.89306640625,226.053955078125,0.5837615728378296
24.0,1.2777777777777777,1.0,387.0189208984375,236.80050659179688,0.6321311593055725
25.0,1.3333333333333333,1.0,387.714111328125,249.99014282226562,0.6440353393554688
26.0,1.3888888888888888,1.0,388.25115966796875,265.0751953125,0.6260032653808594
27.0,1.4444444444444444,1.0,388.9303283691406,276.6781005859375,0.657046377658844
28.0,1.5,1.0,388.82208251953125,284.815673828125,0.516883134841919
29.0,1.5555555555555554,1.0,386.2828674316406,290.0119323730469,0.5117477774620056
30.0,1.611111111111111,1.0,380.328857421875,295.5576171875,0.638796329498291
31.0,1.6666666666666665,1.0,372.08209228515625,297.0955505371094,0.5242417454719543
32.0,1.722222222222222,1.0,362.3404541015625,301.94970703125,0.607262909412384
33.0,1.7777777777777777,1.0,352.0145568847656,300.84625244140625,0.6268823742866516
34.0,1.8333333333333333,1.0,344.94647216796875,298.8460693359375,0.746399998664856
35.0,1.8888888888888888,1.0,339.89471435546875,296.74639892578125,0.6041902899742126
36.0,1.9444444444444444,1.0,335.20330810546875,294.7655029296875,0.6905527114868164
37.0,2.0,1.0,328.0166320800781,290.961669921875,0.5710333585739136
38.0,2.0555555555555554,0.0,,,
39.0,2.111111111111111,1.0,307.595458984375,272.665771484375,0.589214563369751
40.0,2.1666666666666665,1.0,300.05621337890625,266.24481201171875,0.6560187339782715
41.0,2.2222222222222223,1.0,294.4498291015625,261.74951171875,0.6647880673408508
42.0,2.2777777777777777,1.0,288.6488952636719,258.8232116699219,0.6518831253051758
43.0,2.333333333333333,1.0,275.7486572265625,253.03890991210938,0.591308057308197
44.0,2.388888888888889,1.0,263.3014221191406,248.69818115234375,0.6605268716812134
45.0,2.444444444444444,1.0,258.2478332519531,245.85870361328125,0.675599992275238
46.0,2.5,1.0,255.6180419921875,243.57798767089844,0.6721309423446655
47.0,2.5555555555555554,1.0,250.18228149414062,242.25225830078125,0.7187577486038208
48.0,2.611111111111111,1.0,248.4288787841797,241.92739868164062,0.6777920126914978
49.0,2.6666666666666665,1.0,245.48458862304688,239.90493774414062,0.5310895442962646
50.0,2.722222222222222,1.0,239.640380859375,236.38607788085938,0.7227099537849426
51.0,2.7777777777777777,1.0,229.20541381835938,228.62828063964844,0.5152904391288757
52.0,2.833333333333333,1.0,216.502197265625,220.94656372070312,0.5843290686607361
53.0,2.888888888888889,1.0,206.9977264404297,212.28646850585938,0.7179678082466125
54.0,2.944444444444444,1.0,199.75323486328125,205.96026611328125,0.682428777217865
55.0,3.0,1.0,194.85536193847656,199.21127319335938,0.6984866261482239
56.0,3.0555555555555554,1.0,189.66030883789062,193.3389892578125,0.6819591522216797
57.0,3.1111111111111107,1.0,184.92945861816406,185.90159606933594,0.5977058410644531
58.0,3.1666666666666665,1.0,180.54449462890625,180.73843383789062,0.6512255668640137
59.0,3.222222222222222,1.0,175.6766815185547,174.33154296875,0.6703271865844727
60.0,3.2777777777777777,1.0,169.48043823242188,169.32089233398438,0.5789768695831299
61.0,3.333333333333333,1.0,162.67784118652344,163.11090087890625,0.5681490898132324
62.0,3.388888888888889,1.0,153.41156005859375,155.0994873046875,0.506679356098175
63.0,3.444444444444444,1.0,146.32351684570312,148.69686889648438,0.5195275545120239
64.0,3.5,1.0,138.89599609375,141.3056182861328,0.6058042049407959
65.0,3.5555555555555554,1.0,132.0037841796875,135.55419921875,0.5872347354888916
66.0,3.6111111111111107,1.0,126.1763916015625,131.37265014648438,0.5632112622261047
67.0,3.6666666666666665,0.0,,,
68.0,3.722222222222222,1.0,116.91787719726562,127.45513916015625,0.4953462779521942
69.0,3.7777777777777777,1.0,112.03096008300781,127.69844055175781,0.6328648328781128
70.0,3.833333333333333,1.0,105.11601257324219,127.79698181152344,0.6264227032661438
71.0,3.888888888888889,0.0,,,
